Category,Exercise Name,Reps,Sets
Chest,Bench Press,8,4
Chest,Push-ups,15,3
Chest,Incline Dumbbell Press,10,3
Chest,Cable Crossovers,12,3
Shoulders,Overhead Press,10,3
Shoulders,Lateral Raises,12,3
Shoulders,Front Raises,12,3
Shoulders,Face Pulls,15,3
Back,Pull-ups,8,3
Back,Lat Pulldowns,10,3
Back,Seated Cable Row,12,3
Back,Deadlifts,5,4
Arms,Bicep Curls,12,3
Arms,Tricep Dips,15,3
Arms,Hammer Curls,12,3
Arms,Tricep Pushdowns,12,3
Abs,Crunches,20,3
Abs,Planks,60,3
Abs,Leg Raises,15,3
Abs,Russian Twists,20,3
Legs,Squats,10,4
Legs,Lunges,12,3
Legs,Leg Press,10,3
Legs,Hamstring Curls,12,3
Legs,Calf Raises,15,4